"model","model_display","level","n","support_n","support_rate","ci_low","ci_high"
"deepseek","DeepSeek","B0",30,8,0.266666666666667,0.14182663247581,0.444479618412868
"deepseek","DeepSeek","B1",30,7,0.233333333333333,0.117923880805579,0.409283263067196
"deepseek","DeepSeek","B2",30,10,0.333333333333333,0.192304979967264,0.51219948495322
"deepseek","DeepSeek","B3",30,29,0.966666666666667,0.833296088538843,0.994091409683802
"deepseek","DeepSeek","B4",30,29,0.966666666666667,0.833296088538843,0.994091409683802
"qwen_llamacpp","Qwen3-4B","B0",30,11,0.366666666666667,0.218739207122634,0.544864364813753
"qwen_llamacpp","Qwen3-4B","B1",30,9,0.3,0.166647481885625,0.478757876018956
"qwen_llamacpp","Qwen3-4B","B2",30,9,0.3,0.166647481885625,0.478757876018956
"qwen_llamacpp","Qwen3-4B","B3",30,28,0.933333333333333,0.786765414831258,0.981522976375483
"qwen_llamacpp","Qwen3-4B","B4",30,29,0.966666666666667,0.833296088538843,0.994091409683802
"seed","Doubao/Seed","B0",30,1,0.0333333333333333,0.00590859031619798,0.166703911461157
"seed","Doubao/Seed","B1",30,1,0.0333333333333333,0.00590859031619798,0.166703911461157
"seed","Doubao/Seed","B2",30,4,0.133333333333333,0.0530965544711246,0.29681326835394
"seed","Doubao/Seed","B3",30,26,0.866666666666667,0.70318673164606,0.946903445528875
"seed","Doubao/Seed","B4",30,28,0.933333333333333,0.786765414831258,0.981522976375483
