model,polarity,explicitness,n,correct_n,correct_rate,correct_wilson_low,correct_wilson_high,label_0_rate,label_1_rate,label_9_rate
deepseek,negative,explicit,15,15,1.0,0.7961166989641515,1.0,1.0,0.0,0.0
deepseek,negative,implicit,15,13,0.8666666666666667,0.6211801716767764,0.9626387408969346,0.8666666666666667,0.13333333333333333,0.0
deepseek,positive,explicit,15,15,1.0,0.7961166989641515,1.0,0.0,1.0,0.0
deepseek,positive,implicit,15,15,1.0,0.7961166989641515,1.0,0.0,1.0,0.0
qwen_llamacpp,negative,explicit,15,15,1.0,0.7961166989641515,1.0,1.0,0.0,0.0
qwen_llamacpp,negative,implicit,15,13,0.8666666666666667,0.6211801716767764,0.9626387408969346,0.8666666666666667,0.13333333333333333,0.0
qwen_llamacpp,positive,explicit,15,15,1.0,0.7961166989641515,1.0,0.0,1.0,0.0
qwen_llamacpp,positive,implicit,15,14,0.9333333333333333,0.7018347012621998,0.9881331045067315,0.0,0.9333333333333333,0.06666666666666667
seed,negative,explicit,15,15,1.0,0.7961166989641515,1.0,1.0,0.0,0.0
seed,negative,implicit,15,15,1.0,0.7961166989641515,1.0,1.0,0.0,0.0
seed,positive,explicit,15,15,1.0,0.7961166989641515,1.0,0.0,1.0,0.0
seed,positive,implicit,15,15,1.0,0.7961166989641515,1.0,0.0,1.0,0.0
