"model","metric","paired_n","mean_delta","ci_low","ci_high","positive_delta_n","negative_delta_n","subset"
"deepseek","critical_fact_detection_rate",30,-0.293888888888889,-0.485246031746032,-0.111349206349206,8,17,"all_pairs"
"qwen_llamacpp","critical_fact_detection_rate",30,-0.0950793650793651,-0.181666666666667,-0.00388888888888889,4,13,"all_pairs"
"seed","critical_fact_detection_rate",30,-0.21452380952381,-0.39047619047619,-0.0419007936507937,7,15,"all_pairs"
"deepseek","mean_chain_strength",30,-0.59,-0.671666666666667,-0.496625000000001,0,29,"all_pairs"
"qwen_llamacpp","mean_chain_strength",30,-0.58,-0.77,-0.386666666666667,1,20,"all_pairs"
"seed","mean_chain_strength",30,-0.569,-0.699008333333333,-0.429325,3,27,"all_pairs"
"deepseek","sufficiency_ord",30,-1.66666666666667,-1.86666666666667,-1.43333333333333,0,28,"all_pairs"
"qwen_llamacpp","sufficiency_ord",30,-0.933333333333333,-1.2,-0.633333333333333,1,21,"all_pairs"
"seed","sufficiency_ord",30,-1.36666666666667,-1.66666666666667,-1.03333333333333,0,21,"all_pairs"
"deepseek","structured_label_1",30,-0.766666666666667,-0.9,-0.6,0,23,"all_pairs"
"qwen_llamacpp","structured_label_1",30,-0.666666666666667,-0.866666666666667,-0.466666666666667,1,21,"all_pairs"
"seed","structured_label_1",30,-0.666666666666667,-0.833333333333333,-0.5,0,20,"all_pairs"
"deepseek","probe_label_1",30,-0.8,-0.933333333333333,-0.633333333333333,0,24,"all_pairs"
"qwen_llamacpp","probe_label_1",30,-0.666666666666667,-0.833333333333333,-0.5,0,20,"all_pairs"
"seed","probe_label_1",30,-0.866666666666667,-0.966666666666667,-0.733333333333333,0,26,"all_pairs"
"deepseek","probe_margin_1_9",30,-17.9962795079164,-21.3888509467937,-14.4247069373796,1,29,"all_pairs"
"qwen_llamacpp","probe_margin_1_9",30,-8.90986270553853,-10.9882664354139,-6.75499701021968,1,29,"all_pairs"
"seed","probe_margin_1_9",14,-60.3313701833997,-72.5183153910296,-47.3936813899449,0,14,"all_pairs"
