"model","fit","n","npar","log_loss","brier","level_rmse","level_mae","max_level_error","AIC","tau","k","change_point","lower_asymptote","upper_asymptote"
"deepseek","logistic_2pl",150,2,0.477095569153566,0.154800489611991,0.150260664812081,0.130282708455954,0.251644971404062,147.12867074607,1.70296557125812,1.15556962697402,NA,NA,NA
"deepseek","logistic_4pl",150,4,0.410694925115067,0.132333362531107,0.0105423104149291,0.00671787674296364,0.016673794734554,131.20847753452,2.19975309131828,10.1570824219783,NA,0.250003471558953,0.9667696712279
"deepseek","change_point",150,3,0.41328955767724,0.133286247956976,0.0326194073329681,0.0257707320002402,0.0531135531135531,129.986867303172,NA,NA,3,NA,NA
"deepseek","isotonic",150,4,0.411876013639796,0.132455775234131,0.0152824412941418,0.013763440860215,0.0247311827956989,131.562804091939,NA,NA,NA,NA,NA
"deepseek","categorical",150,5,0.411580452980879,0.132344779743323,0.011070570044072,0.0103225806451613,0.0150537634408602,133.474135894264,NA,NA,NA,NA,NA
"seed","logistic_2pl",150,2,0.291567147359084,0.0773427930121369,0.0760738947115329,0.0589816201565312,0.118158591453341,91.4701442077252,2.50413987405726,2.19955397590361,NA,NA,NA
"seed","logistic_4pl",150,4,0.264515688970396,0.071555685056297,0.000359862114529579,0.000247998612719236,0.000582579604753643,87.3547066911187,2.45198394277897,4.5915680421826,NA,0.032770614940647,0.93405377561333
"seed","change_point",150,3,0.277187963583044,0.0733641384530163,0.0425274369961404,0.040952380952381,0.0619047619047619,89.1563890749132,NA,NA,3,NA,NA
"seed","isotonic",150,5,0.266123159901734,0.0717412417620534,0.0136266726128524,0.0135483870967742,0.0150537634408602,89.8369479705202,NA,NA,NA,NA,NA
"seed","categorical",150,5,0.266123159901734,0.0717412417620534,0.0136266726128524,0.0135483870967742,0.0150537634408602,89.8369479705202,NA,NA,NA,NA,NA
"qwen_llamacpp","logistic_2pl",150,2,0.531347090629292,0.179462852998188,0.173578569140474,0.151083649908487,0.301361604313133,163.404127188788,1.55126411502731,0.916222011528737,NA,NA,NA
"qwen_llamacpp","logistic_4pl",150,4,0.455334858608363,0.149925926097621,0.0243432283045578,0.0177798176710122,0.0444368714165803,144.600457582509,2.85786912094863,20.4655404156178,NA,0.322229795250086,0.966664081372067
"qwen_llamacpp","change_point",150,3,0.456741141373683,0.150061095315236,0.0269770639970914,0.0248351648351648,0.0424908424908425,143.022342412105,NA,NA,3,NA,NA
"qwen_llamacpp","isotonic",150,3,0.456208494761718,0.150030061278761,0.0263956046611404,0.0247311827956989,0.0387096774193548,142.862548428515,NA,NA,NA,NA,NA
"qwen_llamacpp","categorical",150,5,0.454868227565231,0.149438085327784,0.0102348421800351,0.00924731182795701,0.0150537634408602,146.460468269569,NA,NA,NA,NA,NA
