"model","fit","log_loss","brier"
"deepseek","categorical",0.446802674424198,0.141314814814815
"qwen_llamacpp","categorical",0.48957059768318,0.159566666666667
"seed","categorical",0.301532952939722,0.0766037037037037
"deepseek","change_point",0.450441091118148,0.140366338483092
"qwen_llamacpp","change_point",0.475622322494835,0.156071552561406
"seed","change_point",0.304458316782833,0.0770529313053625
"deepseek","isotonic",0.446488192578428,0.141207407407407
"qwen_llamacpp","isotonic",0.482595337653478,0.156583950617284
"seed","isotonic",0.301532952939722,0.0766037037037037
"deepseek","logistic_2pl",0.501867246746938,0.162210472567047
"qwen_llamacpp","logistic_2pl",0.550085665052805,0.186391476304577
"seed","logistic_2pl",0.335644639108804,0.0820811335125989
"deepseek","logistic_4pl",0.544333571662459,0.141380167476401
"qwen_llamacpp","logistic_4pl",0.535091965307093,0.1567037427532
"seed","logistic_4pl",0.364850907657873,0.0765816211103918
